latitude,longitude
39.03312386,-108.199838
39.0322282,-108.1487729
39.01680595,-108.1569338
39.01310963,-108.1612621
39.03398,-108.2139
39.03314323,-108.1778558
39.01934844,-108.1751711
39.0314656,-108.1915755
39.01916122,-108.1763681
39.0496091,-108.2009082
39.06200017,-108.216481
39.0216567,-108.197646
39.01675331,-108.1463
39.03161637,-108.1706166
39.03432,-108.21346
39.03053,-108.03219
39.01624637,-108.1683658
39.01692278,-108.1646895
39.0572113,-108.2091122
39.05093,-108.0613
39.05936316,-108.2131989
39.0345,-108.21472
39.01574105,-108.1620345
39.03396,-108.21386
39.0218921,-108.1976945
39.01946619,-108.1648073
39.03341458,-108.1842327
39.03036495,-108.1739931
39.0378076,-108.1878241
39.02546574,-108.1736917
39.03220655,-108.1868103
39.02780792,-108.1725704
39.03070023,-108.1636882
39.01555764,-108.1394193
39.03403816,-108.1910346
39.04721585,-108.1984148
39.01564879,-108.1435036
39.02108892,-108.2028886
39.03285133,-108.1621237
39.02192772,-108.1741676
39.03363,-108.21405
39.03057,-108.03218
39.03357433,-108.1901058
39.06295178,-108.2186045
39.01975175,-108.181784
39.03056,-108.03218
39.03376284,-108.1919465
39.04416,-108.06203
39.02974473,-108.1488958
39.03044426,-108.1716914
39.03183567,-108.1863746
39.01682718,-108.1640928
39.01994792,-108.2033956
39.01656034,-108.1623828
39.01925964,-108.1592837
39.03479156,-108.1987557
39.05323631,-108.2007649
39.0361752,-108.2113729
39.03378724,-108.218513
39.04417,-108.06205
39.03049,-108.03217
39.05538097,-108.2037883
39.04404,-108.06216
39.03418,-108.2148
39.03440854,-108.2196322
39.04418,-108.06201
39.01214127,-108.1547997
39.02115551,-108.1921685
39.0192331,-108.1856734
39.03564378,-108.2034811
39.01801009,-108.1653159
39.04412,-108.062
39.02813139,-108.1518136
39.03057,-108.03281
39.03313369,-108.1998723
39.0179582,-108.1672581
39.01911262,-108.1986242
39.03381,-108.21387
39.04307,-108.06467
39.02119895,-108.2055983
39.03052,-108.03218
39.01866008,-108.1977875
39.01646753,-108.1265989
39.04415,-108.06202
39.0362931,-108.217814
39.03396575,-108.1962586
39.04492,-108.06202
39.04408,-108.06204
39.01877202,-108.1822502
39.02874558,-108.160001
39.0618791,-108.2155613
39.0177894,-108.1900614
39.01610332,-108.1246158
39.03647544,-108.2209258
39.01589091,-108.1486097
39.01795146,-108.2012916
39.01826351,-108.1914169
39.03373,-108.21407
39.03205958,-108.2057941
39.03565301,-108.1997381
39.01947437,-108.1923159
39.03414,-108.21219
39.03462276,-108.2214374
39.05610718,-108.2081505
39.03044,-108.03187
39.03595625,-108.2097528
39.0441,-108.06182
39.0337,-108.21403
39.0182635,-108.1690705
39.03210152,-108.1873112
39.03294512,-108.1856837
39.04417,-108.06202
39.0305,-108.03215
39.03056,-108.03214
39.03534216,-108.1823542
39.01611937,-108.1417525
39.01840146,-108.1673328
39.044,-108.06216
39.0322781,-108.1681876
39.05089,-108.06132
39.05867417,-108.2103834
39.01580038,-108.1626211
39.0333259,-108.194378
39.0623266,-108.2173233
39.06428809,-108.2202392
39.03126197,-108.1894813
39.04404,-108.06224
39.01436741,-108.1415806
39.05096,-108.06127
39.02158031,-108.1918514
39.06417954,-108.2202204
39.03055,-108.03218
39.02934189,-108.1431138
39.04417,-108.06195
39.02002169,-108.1713563
