,height,grain_size,density,temperature,HH_amp
0,83,1.375,249.388888888889,-5.71,0.107582709422104
1,77,1.57142857142857,289.1875,-4.82222222222222,0.107582709422104
2,81,2.15,263.142857142857,-5.48888888888889,0.1427493227783429
3,75,1.41666666666667,302.833333333333,-6.57777777777778,0.0831953225246593
4,96,1.75,277.833333333333,-5.99090909090909,0.1000664237452042
5,86,1.375,272.1875,-5.47,0.1000664237452042
6,67,1.1,286.142857142857,-4.35,0.1342255290424816
7,35,2.0625,230.75,-9.68,0.1099876008729552
8,68,2.0625,293.928571428571,-5.8625,0.1099876008729552
9,67,2.20833333333333,259.714285714286,-5.2375,0.1342255290424816
10,88,2.41666666666667,282.895833333333,-3.54,0.0902442243932455
11,92,1.6875,236.85,-4.81666666666667,0.0902442243932455
12,84,1.79166666666667,327.083333333333,-3.91818181818182,0.0902442243932455
13,83,1.75,238.722222222222,-4.81,0.0834447787232193
14,90,2.39285714285714,298.1875,-5.33,0.0716764708535606
15,83,1.625,323.722222222222,-8.99,0.0716764708535606
16,98,2.10714285714286,292.962962962963,-3.81818181818182,0.1272734987381909
17,82,1.52777777777778,278.62962962963,-5.38181818181818,0.0834447787232193
18,74,2.1875,257.020833333333,-7.67777777777778,0.0716764708535606
19,90,1.5625,281.8125,-6.81,0.1000664237452042
20,78,1.875,262.857142857143,-6.24,0.0843453717138515
21,87,2.25,276.428571428571,-7.57,0.0831953225246593
22,70,1.07142857142857,255.857142857143,-6.2875,0.0831953225246593
23,98,2.5,278.222222222222,-5.25454545454545,0.104198458359292
24,88,1.65,274.125,-7.1,0.0831953225246593
25,96,1.25,291.65,-4.9,0.1000664237452042
26,95,1.875,262.75,-6.89090909090909,0.1000664237452042
27,99,1.20833333333333,266.516666666667,-4.22727272727273,0.1099876008729552
28,139,1.375,318.285714285714,-5.30666666666667,0.1099876008729552
29,96,1.5,296.722222222222,-5.24545454545455,0.1099876008729552
30,103,1.875,298.8,-4.47272727272727,0.1099876008729552
31,86,1.32142857142857,271.357142857143,-4.8,0.1342255290424816
32,97,1.15625,255.816666666667,-3.88181818181818,0.1474563751501705
33,95,1.69444444444444,330.185185185185,-3.87272727272727,0.1474563751501705
34,85,1.20833333333333,291.97619047619,-4.53,0.0902442243932455
35,77,1.41666666666667,294.642857142857,-8.7,0.0716764708535606
36,100,2.85,279.055555555556,-4.37272727272727,0.0716764708535606
37,94,2.0625,285.703703703704,-3.85454545454545,0.1272734987381909
38,92,1.46428571428571,250.222222222222,-5.27272727272727,0.1272734987381909
39,103,1.0,258.283333333333,-3.59166666666667,0.107465838534182
40,70,1.625,272.5,-6.3625,0.107465838534182
41,66,1.35714285714286,230.666666666667,-5.62222222222222,0.0834447787232193
42,99,1.82142857142857,264.944444444444,-4.30909090909091,0.107465838534182
43,95,1.25,250.481481481481,-3.85454545454545,0.107465838534182
44,104,1.27777777777778,269.318181818182,-5.47692307692308,0.107465838534182
45,74,1.89285714285714,351.25,-11.52,0.0775606247883899
46,91,2.0,268.625,-3.41,0.1269571243184373
47,89,1.21428571428571,272.481481481481,-5.12,0.1269571243184373
48,85,1.45,232.375,-4.09,0.1269571243184373
49,89,1.83333333333333,319.041666666667,-4.822,0.0716764708535606
50,75,1.75,281.142857142857,-4.62222222222222,0.0716764708535606
51,70,1.9375,272.2,-9.3,0.0716764708535606
52,100,1.34375,247.5,-4.71666666666667,0.1099876008729552
53,107,1.33333333333333,291.621212121212,-3.36923076923077,0.1347656930242351
54,110,1.0,256.530303030303,-4.0,0.1474563751501705
55,103,1.84375,277.954545454545,-4.225,0.0994749847958758
56,102,1.38888888888889,284.136363636364,-6.60833333333333,0.107465838534182
57,108,1.25,281.45,-4.56666666666667,0.107465838534182
58,102,1.375,241.727272727273,-3.14166666666667,0.1269571243184373
59,100,1.375,262.9,-4.59636363636364,0.1184163589851721
60,76,1.3,232.0,-5.96666666666667,0.1342255290424816
61,112,0.833333333333333,236.791666666667,-5.24615384615385,0.1099876008729552
62,90,2.21428571428571,264.625,-5.8,0.159543785175515
63,100,1.61538461538462,134.685315789474,-3.11,0.1272734987381909
64,85,1.83333333333333,239.214285714286,-4.48,0.1001159126331003
65,101,1.61111111111111,255.7,-3.62727272727273,0.1001159126331003
66,98,1.27777777777778,289.8,-3.10909090909091,0.1001159126331003
67,113,1.45833333333333,275.0,-4.91538461538462,0.1099876008729552
68,102,1.3125,239.090909090909,-5.05,0.1099876008729552
69,106,1.775,306.954545454545,-3.50769230769231,0.1099876008729552
70,102,1.775,278.777777777778,-4.12142857142857,0.159543785175515
71,110,1.92857142857143,265.090909090909,-3.53333333333333,0.1272734987381909
72,97,0.928571428571429,257.222222222222,-4.12727272727273,0.107465838534182
73,110,1.28571428571429,278.466666666667,-4.91666666666667,0.107465838534182
74,112,1.30555555555556,275.875,-3.78461538461538,0.107465838534182
75,88,1.59375,267.925925925926,-5.16,0.1269571243184373
76,117,1.41666666666667,258.409090909091,-4.96923076923077,0.1000664237452042
77,112,1.5,238.636363636364,-5.42307692307692,0.159543785175515
78,104,1.53125,264.045454545455,-3.69230769230769,0.1123606708804061
79,121,1.33333333333333,334.538461538462,-3.2,0.1099876008729552
80,92,1.1875,224.05,-7.27272727272727,0.1099876008729552
81,102,1.46875,252.681818181818,-4.61666666666667,0.159543785175515
82,114,1.20833333333333,242.597222222222,-4.00769230769231,0.1589681247266412
83,97,1.10714285714286,283.777777777778,-4.87272727272727,0.1474563751501705
84,101,1.65,247.222222222222,-6.3,0.1272734987381909
85,112,2.4375,296.833333333333,-4.99230769230769,0.107465838534182
86,103,1.03125,258.194444444444,-7.29230769230769,0.107465838534182
87,70,1.65,254.583333333333,-7.6,0.107465838534182
88,104,1.0,257.045454545455,-5.70833333333333,0.1269571243184373
89,101,1.46428571428571,252.6,-5.2,0.1184163589851721
90,100,1.3125,277.0,-6.25833333333333,0.1589681247266412
91,105,0.928571428571429,263.3,-3.475,0.159543785175515
92,120,1.875,254.090909090909,-4.75384615384615,0.159543785175515
93,115,1.28571428571429,256.909090909091,-6.01538461538462,0.1589681247266412
94,143,0.972222222222222,286.955555555556,-4.4625,0.1589681247266412
95,61,0.9,239.416666666667,-6.225,0.1745711110239085
96,60,1.6,249.583333333333,-9.22857142857143,0.1745711110239085
97,107,1.2,243.041666666667,-5.41538461538462,0.1745711110239085
98,114,0.928571428571429,254.277777777778,-7.40769230769231,0.1745711110239085
99,103,1.59375,258.0,-6.84166666666667,0.1745711110239085
100,113,0.5,164.5,-10.1,0.1745711110239085
101,113,1.78571428571429,269.666666666667,-9.13846153846154,0.1745711110239085
102,101,1.875,262.5,-5.68333333333333,0.1745711110239085
103,110,2.35714285714286,259.111111111111,-2.85833333333333,0.1745711110239085
104,119,1.95,266.569444444444,-3.39285714285714,0.1745711110239085
105,147,2.11111111111111,250.857142857143,-2.96875,0.1745711110239085
106,100,1.46875,285.12962962963,-4.07272727272727,0.1272734987381909
107,112,1.63888888888889,325.541666666667,-6.42307692307692,0.1342255290424816
108,57,1.1,257.7,-8.78,0.172763195534344
109,98,1.825,239.575757575758,-4.14615384615385,0.172763195534344
110,102,1.46875,206.611111111111,-4.5,0.172763195534344
111,109,0.5,215.0,-4.3,0.172763195534344
112,85,2.5,246.125,-5.8,0.172763195534344
113,98,1.6,277.4,-4.62727272727273,0.172763195534344
114,89,1.35714285714286,292.1875,-3.18,0.172763195534344
115,103,1.83333333333333,249.0,-1.525,0.172763195534344
116,136,2.11111111111111,245.307692307692,-3.45333333333333,0.172763195534344
117,160,1.68181818181818,220.117647058824,-2.73888888888889,0.2506686460813512
118,147,1.88636363636364,270.178571428571,-2.76875,0.172763195534344
119,130,1.64285714285714,308.730769230769,-1.39230769230769,0.2506686460813512
120,141,1.35,336.511111111111,-0.611764705882353,0.2506686460813512
121,130,1.27777777777778,332.0,-0.692857142857143,0.172763195534344
122,107,1.61111111111111,319.378787878788,-2.28461538461538,0.172763195534344
123,109,1.8125,334.066666666667,-0.275,0.172763195534344
124,121,1.78571428571429,352.121212121212,-0.3,0.172763195534344
